Customer_ID,Age,Gender,Income,Employment_Type,Years_of_Employment,Credit_Score
CUST04290,55,Female,69347,Sal.,23,715
CUST05421,54,MALE,#N/A,Full-Time,32,772
CUST01159,38,f,69445,Freelancer,7,666
CUST05788,57,F,104759,Sal.,9,763
CUST01395,62,F,NULL,SALARIED,2,608
CUST02960,47,FEMALE,133789,Business owner,20,784
CUST02458,N/A,male,20314,Self Employed,30,N/A
CUST01070,47,MALE,24405,Self Employed,20,741
CUST01874,54,nan,53822,Self-Employed,16,850
CUST02148,38, Female,40155,SE,4,729
CUST05415,39,Female,32141,freelancer,4,698
CUST01389,24,f,49454,Freelancer,4,783
CUST04845,37,male,92795,salaried,15,793
CUST05988,65,Male ,33183,Unknown,nan,594
CUST01752,53, Female,99999999,Salaried,100,-50
CUST01666,50,male,"$6,018",UNEMPLOYED,0,660
CUST01241,45,Male ,67835,Sal.,,1200
CUST03676,32,FEMALE,56571,Self Employed,9,563
CUST00589,#N/A,FEMALE,26900,SE,3,655
CUST04447,26,,130837,Biz Owner,3,541
CUST03267,44,female,88127,Entrepreneur,3,669
CUST00616,21,m,,Sal.,1,761
CUST04010,62,MALE,68298,Self-Employed,29,703
CUST01013,nan,FEMALE,44407,SE,17,664
CUST00994,200, Female,47947,SALARIED,27,598
CUST04640,55,f,"$143,571",Salaried,3,830
CUST03140,61,FEMALE,N/A,Full-Time,14,495
CUST05016,61,FEMALE,"$147,283",Business Owner,10,850
CUST03351,23, Female,83760,Salaried,2,627
CUST05975,43,F,51252,BUSINESS OWNER,,788
CUST00383,-5,m,227900,BUSINESS OWNER,Unknown,689
CUST05660,24,Female,90950,SE,3,#N/A
CUST04735,31,Male ,41249,Full-Time,5,591
CUST02822,57,Male ,68027,Sal.,12,719
CUST03996,55,Male ,55157,SALARIED,9,617
CUST04083,37,MALE,94105,salaried,2,750
CUST04097,26,MALE,100554,self-employed,2,778
CUST01955,64,m,66626,salaried,2,806
CUST01831,49,M,-5000,salaried,15,829
CUST02920,42,m,52795,SE,18,671
CUST02024,22,N/A,80106,SALARIED,1,756
CUST03842,22,Female,60399,Self employed,1,707
CUST04327,30,FEMALE,136041,Salaried,6,651
CUST04648,nan,Male ,65237,Self Employed,1,720
