Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Interest_Rate,Loan_Term,Loan_Status,Debt_to_Income_Ratio
LOAN006290,CUST01050,4255207,home loan,7.44,24,default,nan
LOAN005834,CUST01901,1762680,Housing Loan,6.95,180,Fully Paid,0.0
LOAN006703,CUST02643,1808421,Home Loan,9.2,12,paid,0.02
LOAN010147,CUST00709,0,Mortgage,7.93,24,#N/A,0.01
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ONGOING,0.0
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ONGOING,0.0
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,Paid Off,0.0
LOAN004943,CUST01140,473199,PL,12.24,240,Open,0.0
LOAN003405,CUST03824,410177,education loan,10.25,60,ONGOING,0.0
LOAN002826,CUST04827,4854307,HOME LOAN,9.6,N/A,Ongoing,0.01
LOAN003043,CUST04628,"3,172,589",HOME LOAN,9.99,48,ongoing,0.01
LOAN007707,CUST01500,1318373,SME Loan,11.79,36,Paid Off,0.0
LOAN011535,CUST02173,1286433,car loan,-5, ,active,0.0
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0.0
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,Bad Debt,0.0
LOAN010315,CUST01140,"₹519,192",Edu Loan,8.06,36,Fully Paid,0.0
LOAN002989,CUST02643,4754481,HOME LOAN,8.27,12,Unknown,0.05
LOAN002880,CUST02643,3088078,Home Loan,8.77,48,Fully Paid,0.01
LOAN007596,CUST02950,391470, ,12.5,48,ongoing,0.0
LOAN010170,CUST01140,435467,Edu Loan,8.82,12,nan,0.0
LOAN008656,CUST05069,1441728,Auto Loan,Unknown,240,ONGOING,0.0
LOAN008136,CUST05347,1374408,Car Loan,-5,60,Open,0.0
LOAN010617,CUST03189,"1,924,186",home loan,8.51,48,Open,#N/A
LOAN004233,CUST05328,365654,Vehicle Loan,10.49,240,Defaulted,0.0
LOAN005046,CUST05707,2135138,Mortgage,10.03,84,Charged Off,0.0
LOAN010060,NULL,549678,CAR LOAN,12.17,120,DEFAULT,0.0
LOAN002530,CUST05347,"367,709",Vehicle Loan,11.89,NULL,ONGOING,0.0
LOAN007689,CUST05823,212654,PL,14.32,180,PAID,0.0
LOAN009875,CUST02643,2997298,HOME LOAN,8.06,nan,Closed,0.01
LOAN009489,CUST05735,#N/A,personal loan,13.51, ,CLOSED,0.0
LOAN003599,CUST05069,316491,Student Loan,9.39,600,ACTIVE,0.0
LOAN003416,CUST00247,1038109,Biz Loan,13.05,60,Closed,0.0
LOAN010601,CUST04628,253331,PERSONAL LOAN,13.26,84,,0.0
LOAN004423,CUST01025,576802,SME Loan,12.35,240,ACTIVE,
LOAN003755,CUST05823,100310,Personal,13.9,120,Open,0.0
LOAN004506,CUST05069,-1000,Mortgage,8.41,60,ONGOING,0.01
LOAN001141,CUST00709,178795,,13.77, ,Open,0.0
LOAN008628,CUST05069,1390546,car loan,9.24,84,Paid,0.0
LOAN006696,CUST04628,2411046,home loan,8.65,180,Ongoing,0.0
LOAN006895,CUST00587,452264,Personal,Unknown,12,paid,0.0
LOAN007180,CUST00247,"1,373,919",Car Loan,10.48,120,CLOSED,0.0
LOAN009865,CUST00843,1492613,nan,9.99,60,ongoing,0.0
LOAN007351,CUST00552,457712,Vehicle Loan,10.08,84,Ongoing,99
