Transaction_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
TXN00033894,LOAN006290,,7967.27,paid
TXN00033896,LOAN005834,,7833.82,paid
TXN00033893,LOAN006703,22-12-2024,8252.3,paid
TXN00033895,LOAN010147,,7031.18,late
TXN00031418,LOAN006261,,5309.68,paid
TXN00031421,LOAN003394,25-02-2022,5503.09,paid
TXN00031419,LOAN001778,,5748.23,no_transaction
TXN00031420,LOAN004943,,0,missed
TXN00036120,LOAN003405,,21266.6,paid
TXN00036119,LOAN002826,,19241.68,late
TXN00036117,LOAN003043,,22299.59,paid
TXN00036118,LOAN007707,,19220.66,paid
TXN00054584,LOAN011535,,17013.88,paid
TXN00054586,LOAN007947,,16890.95,late
TXN00054587,LOAN010054,,0,missed
TXN00054585,LOAN010315,,15956.04,paid
TXN00033729,LOAN002989,,6850.95,paid
TXN00033733,LOAN002880,,0,missed
TXN00033726,LOAN007596,,6669.86,paid
TXN00033732,LOAN010170,,7329.04,paid
TXN00033727,LOAN008656,,6194.25,paid
TXN00033730,LOAN008136,,7262.5,paid
TXN00033731,LOAN010617,,6579.35,paid
TXN00033728,LOAN004233,,6977.11,paid
TXN00018279,LOAN005046,,9365.98,late
TXN00018280,LOAN010060,,0,paid
TXN00018277,LOAN002530,,9339.96,late
TXN00018281,LOAN007689,,0,missed
TXN00018278,LOAN009875,,9103.28,late
TXN00009532,LOAN009489,,0,missed
TXN00009529,LOAN003599,,6990.2,paid
TXN00009531,LOAN003416,,6540.02,paid
TXN00009533,LOAN010601,,0,missed
TXN00009530,LOAN004423,,5985.91,late
TXN00026647,LOAN003755,,1773.57,paid
TXN00026646,LOAN004506,,0,missed
TXN00026648,LOAN001141,04-09-2022,0,missed
TXN00026645,LOAN008628,,0,missed
TXN00018335,LOAN006696,,16873.43,late
TXN00018336,LOAN006895,,14878.34,paid
TXN00018333,LOAN007180,,16676.82,paid
TXN00018334,LOAN009865,,0,paid
TXN00015243,LOAN007351,26-08-2024,30596.08,paid
TXN00015240,LOAN001761,,30843.65,late
TXN00015241,LOAN011811,,33699.66,paid
TXN00015239,LOAN000665,,32004.32,late
TXN00015238,LOAN004952,,0,paid
TXN00015244,LOAN004706,26-04-2020,29529.11,paid
TXN00015242,LOAN005107,,34625.31,paid
TXN00016382,LOAN007740,16-08-2021,19438.64,no_transaction
TXN00016381,LOAN001021,,22781.25,late
TXN00016378,LOAN003785,,0,missed
TXN00016377,LOAN007665,,0,missed
TXN00016380,LOAN002092,,0,missed
TXN00016384,LOAN000707,,20824.39,late
TXN00016383,LOAN007377,,0,missed
TXN00016379,LOAN010536,,0,missed
TXN00041448,LOAN000315,,46013.575,paid
TXN00041449,LOAN010698,14-02-2024,46013.575,paid
TXN00041446,LOAN006116,,46013.575,paid
TXN00041447,LOAN002763,,46013.575,paid
