Loan_ID,Customer_ID,Loan_Amount,Loan_Type,Interest_Rate,Loan_Term,Loan_Status,Debt_to_Income_Ratio,Age,Gender,Income,Employment_Type,Years_of_Employment,Credit_Score,Transaction_ID,Payment_Date,Payment_Amount,Payment_Status,EMI,High_Risk,Income_Group,Credit_Group
LOAN006290,CUST01050,3125717,home loan,7.44,24,default,0,55,female,109302,salaried,8,544,TXN00033894,,7967.27,paid,130238.2083,1,Mid,Poor
LOAN006290,CUST01050,3125717,home loan,7.44,24,default,0,55,female,109302,salaried,8,544,TXN00033896,,7833.82,paid,130238.2083,1,Mid,Poor
LOAN006290,CUST01050,3125717,home loan,7.44,24,default,0,55,female,109302,salaried,8,544,TXN00033893,02-04-2024,8252.3,paid,130238.2083,1,Mid,Poor
LOAN006290,CUST01050,3125717,home loan,7.44,24,default,0,55,female,109302,salaried,8,544,TXN00033895,,7031.18,late,130238.2083,1,Mid,Poor
LOAN005834,CUST01901,1762680,Housing Loan,6.95,180,paid,0,22,male,90337,salaried,2,719,TXN00031418,,5309.68,paid,9792.666667,0,Lower-Mid,Good
LOAN005834,CUST01901,1762680,Housing Loan,6.95,180,paid,0,22,male,90337,salaried,2,719,TXN00031421,07-10-2023,5503.09,paid,9792.666667,0,Lower-Mid,Good
LOAN005834,CUST01901,1762680,Housing Loan,6.95,180,paid,0,22,male,90337,salaried,2,719,TXN00031419,,5748.23,no_transaction,9792.666667,0,Lower-Mid,Good
LOAN005834,CUST01901,1762680,Housing Loan,6.95,180,paid,0,22,male,90337,salaried,2,719,TXN00031420,,0,missed,9792.666667,0,Lower-Mid,Good
LOAN006703,CUST02643,1808421,Home Loan,9.2,12,paid,0.02,43,female,97710,salaried,20,737,TXN00036120,,21266.6,paid,150701.75,0,Lower-Mid,Good
LOAN006703,CUST02643,1808421,Home Loan,9.2,12,paid,0.02,43,female,97710,salaried,20,737,TXN00036119,,19241.68,late,150701.75,0,Lower-Mid,Good
LOAN006703,CUST02643,1808421,Home Loan,9.2,12,paid,0.02,43,female,97710,salaried,20,737,TXN00036117,,22299.59,paid,150701.75,0,Lower-Mid,Good
LOAN006703,CUST02643,1808421,Home Loan,9.2,12,paid,0.02,43,female,97710,salaried,20,737,TXN00036118,,19220.66,paid,150701.75,0,Lower-Mid,Good
LOAN010147,CUST00709,1,Mortgage,7.93,24,unknown,0.01,46,female,82648,salaried,24,686,TXN00054584,,17013.88,paid,0.041666667,0,Lower-Mid,Average
LOAN010147,CUST00709,1,Mortgage,7.93,24,unknown,0.01,46,female,82648,salaried,24,686,TXN00054586,,16890.95,late,0.041666667,0,Lower-Mid,Average
LOAN010147,CUST00709,1,Mortgage,7.93,24,unknown,0.01,46,female,82648,salaried,24,686,TXN00054587,,0,missed,0.041666667,0,Lower-Mid,Average
LOAN010147,CUST00709,1,Mortgage,7.93,24,unknown,0.01,46,female,82648,salaried,24,686,TXN00054585,,15956.04,paid,0.041666667,0,Lower-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033729,,6850.95,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033733,,0,missed,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033726,,6669.86,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033732,,7329.04,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033727,,6194.25,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033730,,7262.5,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033731,,6579.35,paid,976.7625,0,Upper-Mid,Average
LOAN006261,CUST05735,234423,Personal Loan,11.83,240,ongoing,0,53,female,212735,business owner,33,664,TXN00033728,,6977.11,paid,976.7625,0,Upper-Mid,Average
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ongoing,0,32,male,28362,self-employed,12,814,TXN00018279,,9365.98,late,39685.66667,0,Low,Excellent
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ongoing,0,32,male,28362,self-employed,12,814,TXN00018280,,0,paid,39685.66667,0,Low,Excellent
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ongoing,0,32,male,28362,self-employed,12,814,TXN00018277,,9339.96,late,39685.66667,0,Low,Excellent
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ongoing,0,32,male,28362,self-employed,12,814,TXN00018281,,0,missed,39685.66667,0,Low,Excellent
LOAN003394,CUST00843,1428684,Business Loan,12.53,36,ongoing,0,32,male,28362,self-employed,12,814,TXN00018278,,9103.28,late,39685.66667,0,Low,Excellent
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,paid,0,29,male,147224,salaried,8,553,TXN00009532,,0,missed,24738.58333,0,Mid,Poor
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,paid,0,29,male,147224,salaried,8,553,TXN00009529,,6990.2,paid,24738.58333,0,Mid,Poor
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,paid,0,29,male,147224,salaried,8,553,TXN00009531,,6540.02,paid,24738.58333,0,Mid,Poor
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,paid,0,29,male,147224,salaried,8,553,TXN00009533,,0,missed,24738.58333,0,Mid,Poor
LOAN001778,CUST01500,296863,EDUCATION LOAN,7.68,12,paid,0,29,male,147224,salaried,8,553,TXN00009530,,5985.91,late,24738.58333,0,Mid,Poor
LOAN004943,CUST01140,473199,PL,12.24,240,ongoing,0,57,male,42192,self-employed,3,681,TXN00026647,,1773.57,paid,1971.6625,0,Low,Average
LOAN004943,CUST01140,473199,PL,12.24,240,ongoing,0,57,male,42192,self-employed,3,681,TXN00026646,,0,missed,1971.6625,0,Low,Average
LOAN004943,CUST01140,473199,PL,12.24,240,ongoing,0,57,male,42192,self-employed,3,681,TXN00026648,04-07-2024,0,missed,1971.6625,0,Low,Average
LOAN004943,CUST01140,473199,PL,12.24,240,ongoing,0,57,male,42192,self-employed,3,681,TXN00026645,,0,missed,1971.6625,0,Low,Average
LOAN003405,CUST03824,410177,education loan,10.25,60,ongoing,0,26,nb,59871,salaried,6,601,TXN00018335,,16873.43,late,6836.283333,0,Lower-Mid,Average
LOAN003405,CUST03824,410177,education loan,10.25,60,ongoing,0,26,nb,59871,salaried,6,601,TXN00018336,,14878.34,paid,6836.283333,0,Lower-Mid,Average
LOAN003405,CUST03824,410177,education loan,10.25,60,ongoing,0,26,nb,59871,salaried,6,601,TXN00018333,,16676.82,paid,6836.283333,0,Lower-Mid,Average
LOAN003405,CUST03824,410177,education loan,10.25,60,ongoing,0,26,nb,59871,salaried,6,601,TXN00018334,,0,paid,6836.283333,0,Lower-Mid,Average
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015243,26-05-2021,30596.08,paid,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015240,,30843.65,late,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015241,,33699.66,paid,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015239,,32004.32,late,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015238,,0,paid,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015244,22-06-2021,29529.11,paid,52095.28333,0,Lower-Mid,Good
LOAN002826,CUST04827,3125717,HOME LOAN,9.6,60,ongoing,0.01,51,female,94993,unknown,20,703,TXN00015242,,34625.31,paid,52095.28333,0,Lower-Mid,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016382,09-09-2020,19438.64,no_transaction,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016381,,22781.25,late,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016378,,0,missed,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016377,,0,missed,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016380,,0,missed,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016384,,20824.39,late,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016383,,0,missed,14646.35417,0,Unknown,Good
LOAN003043,CUST04628,703025,HOME LOAN,9.99,48,ongoing,0.01,21,male,0,business owner,1,717,TXN00016379,,0,missed,14646.35417,0,Unknown,Good
LOAN007707,CUST01500,1318373,SME Loan,11.79,36,paid,0,29,male,147224,salaried,8,553,TXN00041448,,46013.575,paid,36621.47222,0,Mid,Poor
LOAN007707,CUST01500,1318373,SME Loan,11.79,36,paid,0,29,male,147224,salaried,8,553,TXN00041449,15-04-2021,46013.575,paid,36621.47222,0,Mid,Poor
LOAN007707,CUST01500,1318373,SME Loan,11.79,36,paid,0,29,male,147224,salaried,8,553,TXN00041446,,46013.575,paid,36621.47222,0,Mid,Poor
LOAN007707,CUST01500,1318373,SME Loan,11.79,36,paid,0,29,male,147224,salaried,8,553,TXN00041447,,46013.575,paid,36621.47222,0,Mid,Poor
LOAN011535,CUST02173,1286433,car loan,1,60,ongoing,0,47,non-binary,71449,self-employed,19,743,TXN00062085,,1901.86,paid,21440.55,0,Lower-Mid,Good
LOAN011535,CUST02173,1286433,car loan,1,60,ongoing,0,47,non-binary,71449,self-employed,19,743,TXN00062083,,1801.85,no_transaction,21440.55,0,Lower-Mid,Good
LOAN011535,CUST02173,1286433,car loan,1,60,ongoing,0,47,non-binary,71449,self-employed,19,743,TXN00062086,,1729.25,paid,21440.55,0,Lower-Mid,Good
LOAN011535,CUST02173,1286433,car loan,1,60,ongoing,0,47,non-binary,71449,self-employed,19,743,TXN00062084,,0,paid,21440.55,0,Lower-Mid,Good
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042772,,0,paid,10180.3,0,Lower-Mid,Average
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042770,,3195.15,paid,10180.3,0,Lower-Mid,Average
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042774,,3033.04,paid,10180.3,0,Lower-Mid,Average
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042775,,0,paid,10180.3,0,Lower-Mid,Average
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042771,,0,paid,10180.3,0,Lower-Mid,Average
LOAN007947,CUST00709,610818,CAR LOAN,11.02,60,ongoing,0,46,female,82648,salaried,24,686,TXN00042773,,0,paid,10180.3,0,Lower-Mid,Average
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,default,0,39,male,68762,salaried,18,730,TXN00054107,,0,late,3917.133333,1,Lower-Mid,Good
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,default,0,39,male,68762,salaried,18,730,TXN00054106,,0,missed,3917.133333,1,Lower-Mid,Good
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,default,0,39,male,68762,salaried,18,730,TXN00054105,,9017.45,late,3917.133333,1,Lower-Mid,Good
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,default,0,39,male,68762,salaried,18,730,TXN00054103,,8622.35,paid,3917.133333,1,Lower-Mid,Good
LOAN010054,CUST00015,235028,PERSONAL LOAN,20.61,60,default,0,39,male,68762,salaried,18,730,TXN00054104,,8757.04,paid,3917.133333,1,Lower-Mid,Good
LOAN010315,CUST01140,703025,Edu Loan,8.06,36,paid,0,57,male,42192,self-employed,3,681,TXN00055505,,0,paid,19528.47222,0,Low,Average
LOAN010315,CUST01140,703025,Edu Loan,8.06,36,paid,0,57,male,42192,self-employed,3,681,TXN00055508,,17501.2,paid,19528.47222,0,Low,Average
LOAN010315,CUST01140,703025,Edu Loan,8.06,36,paid,0,57,male,42192,self-employed,3,681,TXN00055507,,16975.01,paid,19528.47222,0,Low,Average
LOAN010315,CUST01140,703025,Edu Loan,8.06,36,paid,0,57,male,42192,self-employed,3,681,TXN00055506,,0,paid,19528.47222,0,Low,Average
LOAN010315,CUST01140,703025,Edu Loan,8.06,36,paid,0,57,male,42192,self-employed,3,681,TXN00055504,,16537.5,paid,19528.47222,0,Low,Average
LOAN002989,CUST02643,3125717,HOME LOAN,8.27,12,unknown,0.05,43,female,97710,salaried,20,737,TXN00016099,,15050.05,paid,260476.4167,0,Lower-Mid,Good
LOAN002989,CUST02643,3125717,HOME LOAN,8.27,12,unknown,0.05,43,female,97710,salaried,20,737,TXN00016098,,15844.44,late,260476.4167,0,Lower-Mid,Good
LOAN002989,CUST02643,3125717,HOME LOAN,8.27,12,unknown,0.05,43,female,97710,salaried,20,737,TXN00016097,,15288.98,paid,260476.4167,0,Lower-Mid,Good
LOAN002989,CUST02643,3125717,HOME LOAN,8.27,12,unknown,0.05,43,female,97710,salaried,20,737,TXN00016096,,15517.11,paid,260476.4167,0,Lower-Mid,Good
LOAN002880,CUST02643,3088078,Home Loan,8.77,48,paid,0.01,43,female,97710,salaried,20,737,TXN00015524,,0,late,64334.95833,0,Lower-Mid,Good
